week,depression,anxiety,addiction,counselling,mental_health,stay_at_home,mask_mandate,gatherings_banned,business_closures,travel_restrictions
2022-01-16,49.8,72.6,24.6,36.8,45.6,0.0,0.6,0.2,0.2,0.2
2022-01-23,54.8,78.4,21.0,38.6,51.2,0.0,0.6,0.2,0.2,0.2
2022-01-30,59.2,73.8,22.2,36.8,51.0,0.0,0.6,0.2,0.2,0.2
2022-02-06,60.2,86.4,22.8,38.2,60.2,0.0,0.6,0.2,0.2,0.2
2022-02-13,57.4,77.0,29.6,34.4,49.8,0.0,0.6,0.2,0.2,0.2
2022-02-20,53.8,84.4,22.8,37.0,53.0,0.0,0.6,0.2,0.2,0.2
2022-02-27,53.8,88.8,23.8,38.8,67.4,0.0,0.6,0.2,0.2,0.2
2022-03-06,68.0,78.0,23.0,35.2,55.6,0.0,0.4,0.0,0.0,0.2
2022-03-13,58.4,75.4,20.6,33.2,51.0,0.0,0.4,0.0,0.0,0.2
2022-03-20,60.2,81.8,25.6,40.6,57.0,0.0,0.2,0.0,0.0,0.2
2022-03-27,68.4,84.4,21.2,33.6,57.6,0.0,0.0,0.0,0.0,0.0
2022-04-03,65.6,82.0,22.8,32.8,56.0,0.0,0.0,0.0,0.0,0.0
2022-04-10,62.6,71.0,18.6,33.8,53.0,0.0,0.0,0.0,0.0,0.0
2022-04-17,74.4,83.4,22.6,37.6,51.6,0.0,0.0,0.0,0.0,0.0
2022-04-24,67.6,73.4,21.4,37.6,68.0,0.0,0.0,0.0,0.0,0.0
2022-05-01,64.2,76.6,21.0,31.8,72.6,0.0,0.0,0.0,0.0,0.0
2022-05-08,67.6,74.0,18.4,36.6,65.4,0.0,0.0,0.0,0.0,0.0
2022-05-15,59.8,71.4,22.0,29.0,63.6,0.0,0.0,0.0,0.0,0.0
2022-05-22,54.4,73.0,24.2,33.6,60.4,0.0,0.0,0.0,0.0,0.0
2022-05-29,47.4,66.4,21.6,33.8,52.6,0.0,0.0,0.0,0.0,0.0
2022-06-05,52.6,67.6,22.4,34.2,49.6,0.0,0.0,0.0,0.0,0.0
2022-06-12,54.8,66.0,17.2,35.0,49.6,0.0,0.0,0.0,0.0,0.0
2022-06-19,37.4,72.6,20.4,32.8,45.6,0.0,0.0,0.0,0.0,0.0
2022-06-26,46.8,72.0,18.6,29.4,49.0,0.0,0.0,0.0,0.0,0.0
2022-07-03,49.8,71.4,17.2,28.4,43.6,0.0,0.0,0.0,0.0,0.0
2022-07-10,45.2,67.6,17.6,30.0,48.0,0.0,0.0,0.0,0.0,0.0
2022-07-17,45.6,76.0,20.2,35.2,44.2,0.0,0.0,0.0,0.0,0.0
2022-07-24,43.4,66.4,21.8,33.8,45.8,0.0,0.0,0.0,0.0,0.0
