week,depression,anxiety,addiction,counselling,mental_health,stay_at_home,mask_mandate,gatherings_banned,business_closures,travel_restrictions
2021-06-20,39.4,63.4,15.6,24.2,26.4,0.0,0.0,0.0,0.0,0.0
2021-06-27,41.4,64.2,18.8,34.8,31.4,0.0,0.0,0.0,0.0,0.0
2021-07-04,33.6,73.0,14.4,30.4,27.8,0.0,0.0,0.0,0.0,0.0
2021-07-11,39.4,68.2,15.0,30.2,29.2,0.0,0.0,0.0,0.0,0.0
2021-07-18,43.8,63.8,15.2,33.2,27.8,0.0,0.0,0.0,0.0,0.0
2021-07-25,37.8,65.4,16.6,29.8,32.6,0.0,0.0,0.0,0.0,0.0
2021-08-01,40.4,67.0,16.8,35.2,30.8,0.0,0.0,0.0,0.0,0.0
2021-08-08,44.6,73.8,15.8,32.8,32.6,0.0,0.0,0.0,0.0,0.0
2021-08-15,45.2,67.6,19.2,33.6,28.4,0.0,0.0,0.0,0.0,0.0
2021-08-22,37.2,68.8,18.8,35.6,32.2,0.0,0.0,0.0,0.0,0.0
2021-08-29,36.4,69.8,14.2,34.6,29.4,0.0,0.0,0.0,0.0,0.0
2021-09-05,41.6,68.0,21.2,30.8,39.0,0.0,0.0,0.0,0.0,0.0
2021-09-12,55.4,69.4,23.0,42.0,36.8,0.0,0.0,0.0,0.0,0.0
2021-09-19,43.4,69.2,19.2,37.2,37.6,0.0,0.0,0.0,0.0,0.0
2021-09-26,41.0,63.4,21.8,30.4,34.6,0.0,0.0,0.0,0.0,0.0
2021-10-03,47.6,73.8,21.0,37.8,35.4,0.0,0.0,0.0,0.0,0.0
2021-10-10,49.2,72.2,14.2,43.8,46.0,0.0,0.0,0.0,0.0,0.0
2021-10-17,43.8,67.6,17.0,39.4,38.2,0.0,0.0,0.0,0.0,0.0
2021-10-24,47.0,66.0,21.6,35.6,32.6,0.0,0.0,0.0,0.0,0.0
2021-10-31,50.2,72.2,14.8,35.0,41.0,0.0,0.0,0.0,0.0,0.0
2021-11-07,47.8,62.8,22.0,33.2,42.8,0.0,0.0,0.0,0.0,0.0
2021-11-14,50.4,64.8,18.8,36.2,36.8,0.0,0.0,0.0,0.0,0.0
2021-11-21,40.2,59.6,20.8,26.4,27.2,0.0,0.0,0.0,0.0,0.0
2021-11-28,47.8,66.6,25.4,34.2,38.2,0.0,0.0,0.0,0.0,0.0
2021-12-05,48.2,64.4,20.8,30.8,41.6,0.0,0.0,0.0,0.0,0.0
